189,Detective,Deductive Reasoning,Ability,1,,"Analyze the facts and data, adding +1d4 Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,Analyze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Analyze', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Analyze'],"['!power {{\n    --name|@{name} - Deductive Reasoning\n    --Effect|Analyze the facts and data, adding +1d4 Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_analyze}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
192,Detective,Intuitive Insight,Ability,2,,"Use your Insight to determine if your target is lying or to sense their intentions, adding +2 Bonus Hits to the result set.",,,,,,,,,,,,,,Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, 'Insight', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Insight'],"['!power {{\n    --name|@{name} - Intuitive Insight\n    --Effect|Use your Insight to determine if your target is lying or to sense their intentions, adding +2 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_insight}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
195,Detective,Logical Conclusion,Ability,3,,You can draw accurate conclusions from limited information.  Spend 3 Momentum to state yoru conclusion.  The BAMF will tell you if you are correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
196,Detective,Master Investigator,Ability,3,,"Use a Shift to Investigate, then Analyze your findings, summing the Hits in both result sets.",,,,,,,,,,,,,,,,,,,,,,,,,,Analyze,,,,,,,,,,,,,,,,,,,,,,,,Investigate,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Analyze', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Investigate', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Analyze', 'Investigate']","['!power {{\n    --name|@{name} - Master Investigator\n    --Effect|Use a Shift to Investigate, then Analyze your findings, summing the Hits in both result sets.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_analyze}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Master Investigator\n    --Effect|Use a Shift to Investigate, then Analyze your findings, summing the Hits in both result sets.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_investigate}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
200,Diabolist,Profane Allure,Ability,2,,"Increase the Entropy by +1, then Deceive or Persuade on target in your Current Zone to give them Charmed X, where X is equal to Hits in the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deceive,,,,,Persuade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Deceive', None, None, None, None, 'Persuade', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Deceive', 'Persuade']","['!power {{\n    --name|@{name} - Profane Allure\n    --Effect|Increase the Entropy by +1, then Deceive or Persuade on target in your Current Zone to give them Charmed X, where X is equal to Hits in the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_deceive}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Profane Allure\n    --Effect|Increase the Entropy by +1, then Deceive or Persuade on target in your Current Zone to give them Charmed X, where X is equal to Hits in the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_persuade}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
201,Diabolist,Profane Caress,Ability,3,,"Increase the Entropy by +1, then touch one target in your Current Zone who is Charmed by you to regain X Grit, where X is the target's Charmed rating.  The target loses Charmed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
205,Diplomat,Nobody's Fool,Ability,1,,"Nothing slips by you while engaged in social Contests, scoring +2 Bonus Hits when using Insight or Persuade.",,,,,,,,,,,,,,Insight,,,,,,,,,,,,,,,,,,,,,Persuade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, 'Insight', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Persuade', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Insight', 'Persuade']","[""!power {{\n    --name|@{name} - Nobody's Fool\n    --Effect|Nothing slips by you while engaged in social Contests, scoring +2 Bonus Hits when using Insight or Persuade.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_insight}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Nobody's Fool\n    --Effect|Nothing slips by you while engaged in social Contests, scoring +2 Bonus Hits when using Insight or Persuade.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_persuade}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}""]"
206,Diplomat,Silver Tongue,Ability,1,,"Persuade your target, adding +2 Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persuade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Persuade', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Persuade'],"['!power {{\n    --name|@{name} - Silver Tongue\n    --Effect|Persuade your target, adding +2 Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_persuade}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
207,Diplomat,Browbeat,Ability,2,,"Intimidate your opponent while engaged in a Contest, adding +2 Hits to the result set.",,,,Intimidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, 'Intimidate', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Intimidate'],"['!power {{\n    --name|@{name} - Browbeat\n    --Effect|Intimidate your opponent while engaged in a Contest, adding +2 Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_intimidate}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
209,Diplomat,Unflappable,Ability,2,,"When you Recover to regain Nerve, regain and additional +2 Bonus Hits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
215,Druid,Attune with Nature,Ability,1,Nature's Bond,"Endure or use your Insight to connect with nature, gaining Hits in Attunement.<br>Attunment measures the strength of connection to nature, which determines the strength of the Marvels you can manifest.<br>If the result set of one of your Marvels contains a 1, reduce your Atttunement by X, where X is equal to Hits in the same result set.<br>If your Attunement equals 0 or less, you gain Fatigued 4 and the Momentum decreases by -2.<br>You may use this Ability without spending an Action at the beginning of each Waypoint. If you use it during a Waypoint, it requires 7 - Steady Actions (minimum 1 Action).",,,,,,,,,,,,,,Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endure,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, 'Insight', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Endure', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Insight', 'Endure']","['!power {{\n    --name|@{name} - Attune with Nature\n    --Effect|Endure or use your Insight to connect with nature, gaining Hits in Attunement.<br>Attunment measures the strength of connection to nature, which determines the strength of the Marvels you can manifest.<br>If the result set of one of your Marvels contains a 1, reduce your Atttunement by X, where X is equal to Hits in the same result set.<br>If your Attunement equals 0 or less, you gain Fatigued 4 and the Momentum decreases by -2.<br>You may use this Ability without spending an Action at the beginning of each Waypoint. If you use it during a Waypoint, it requires 7 - Steady Actions (minimum 1 Action).\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_insight}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Attune with Nature\n    --Effect|Endure or use your Insight to connect with nature, gaining Hits in Attunement.<br>Attunment measures the strength of connection to nature, which determines the strength of the Marvels you can manifest.<br>If the result set of one of your Marvels contains a 1, reduce your Atttunement by X, where X is equal to Hits in the same result set.<br>If your Attunement equals 0 or less, you gain Fatigued 4 and the Momentum decreases by -2.<br>You may use this Ability without spending an Action at the beginning of each Waypoint. If you use it during a Waypoint, it requires 7 - Steady Actions (minimum 1 Action).\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_endure}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
216,Druid,Nourish the Bond,Ability,2,Nature's Bond,"Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Plaga, Rime, Squall, Torrent</em>",,,,,,,,,,,,,,,,,,,,,,Plaga,Squall,,,,,,,,,,,,,,,,,,,,,,Rime,Torrent,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Plaga', 'Squall', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Rime', 'Torrent', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Plaga', 'Squall', 'Rime', 'Torrent']","['!power {{\n    --name|@{name} - Nourish the Bond\n    --Effect|Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Plaga, Rime, Squall, Torrent</em>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_plaga}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Nourish the Bond\n    --Effect|Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Plaga, Rime, Squall, Torrent</em>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_squall}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Nourish the Bond\n    --Effect|Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Plaga, Rime, Squall, Torrent</em>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_rime}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Nourish the Bond\n    --Effect|Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Plaga, Rime, Squall, Torrent</em>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_torrent}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
217,Druid,Temper the Bond,Ability,3,Nature's Bond,"Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Inferno, Rime, Tempest, Torrent, Vivus</em>",,,,,,,,,,Inferno,,Tempest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,Torrent,,,,,,,,,,,,,,,,,,,Vivus,"[None, None, None, None, None, None, None, None, 'Inferno', None, 'Tempest', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Rime', 'Torrent', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Vivus']","['Inferno', 'Tempest', 'Rime', 'Torrent', 'Vivus']","['!power {{\n    --name|@{name} - Temper the Bond\n    --Effect|Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Inferno, Rime, Tempest, Torrent, Vivus</em>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_inferno}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Temper the Bond\n    --Effect|Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Inferno, Rime, Tempest, Torrent, Vivus</em>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_tempest}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Temper the Bond\n    --Effect|Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Inferno, Rime, Tempest, Torrent, Vivus</em>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_rime}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Temper the Bond\n    --Effect|Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Inferno, Rime, Tempest, Torrent, Vivus</em>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_torrent}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Temper the Bond\n    --Effect|Select 2 additional Effect Skills from the list below to add to your Afinity:<br><em>Inferno, Rime, Tempest, Torrent, Vivus</em>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_vivus}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
236,Elementalist,Elemental Recovery,Ability,1,,Spend X Current and choose one (1):<ul><li>Reduce one of your Statuses by -X.</li><li>Recover +X to your Primary Defense.</li></ul>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
244,Elementalist,Uncanny Trait Increase,Ability,,,Increase your Uncanny Trait rating by +1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
267,Grandmaster,Dim Mak,Ability,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
268,Healer,Embrace the Cycle,Ability,1,The Cycle's Drain,"When you gain this Talent, increase you Vivus Rank to 2 (d8).<br>You can use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that call on the Vivus Skill.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivus,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Vivus']",['Vivus'],"[""!power {{\n    --name|@{name} - Embrace the Cycle\n    --Effect|When you gain this Talent, increase you Vivus Rank to 2 (d8).<br>You can use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that call on the Vivus Skill.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_vivus}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}""]"
274,Hunter,Silent Stalker,Ability,1,,"When you use Stealth in a wilderness environment, add +1d4 Bonus Hits to the result set.",,,,,,,,,,,,,,,,,Stealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Stealth', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Stealth'],"['!power {{\n    --name|@{name} - Silent Stalker\n    --Effect|When you use Stealth in a wilderness environment, add +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_stealth}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
275,Hunter,Natural Camoflauge,Ability,3,,"Use Stealth to conceal yourself while in a natural environment.  Until you take use a Shift or Action, you gain Hidden X, where X is equal to 8+Hits in the result set.",,,,,,,,,,,,,,,,,Stealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Stealth', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Stealth'],"['!power {{\n    --name|@{name} - Natural Camoflauge\n    --Effect|Use Stealth to conceal yourself while in a natural environment.  Until you take use a Shift or Action, you gain Hidden X, where X is equal to 8+Hits in the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_stealth}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
281,Infiltrator,Disguise Expert,Ability,1,,"Deceive the world to gain Disguised X, where X is euqal to Hits in the result set.  You cannot use this ability if you are being observed by an enemy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deceive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Deceive', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Deceive'],"['!power {{\n    --name|@{name} - Disguise Expert\n    --Effect|Deceive the world to gain Disguised X, where X is euqal to Hits in the result set.  You cannot use this ability if you are being observed by an enemy.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_deceive}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
287,Infiltrator,Lock Master,Ability,2,,"Use your Implements to disable a lock blocking your way, adding +1d4 Bonus Hits to the result set.",,,,,,,,,,,,,Implements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, 'Implements', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Implements'],"['!power {{\n    --name|@{name} - Lock Master\n    --Effect|Use your Implements to disable a lock blocking your way, adding +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_implements}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
289,Infiltrator,Vanish,Ability,2,,"Spend Momentum to gain Hidden X, where X is the amount of Momentum spent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
310,Knight,Atoning Act,Ability,3,,Spend 4 Momentum to increase your Dedication by +3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
314,Mage,Grasp the arcane,Ability,1,Study Spells,"Whe nyou Study Spells, add +2 Bonus Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],[]
329,Magic-User,Study Spells,Ability,1,Spellburn,"Research the magical secrets and recipes that empower your Spells.<br>You gain Hits in Spell Ranks to invest in your Spells.<br>You may use this Ability without spending an Action at the beginning of each Waypoint. If you use it during a Waypoint, it requires 10 - Savvy Actions (minimum 1 Action).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Research', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Research'],"['!power {{\n    --name|@{name} - Study Spells\n    --Effect|Research the magical secrets and recipes that empower your Spells.<br>You gain Hits in Spell Ranks to invest in your Spells.<br>You may use this Ability without spending an Action at the beginning of each Waypoint. If you use it during a Waypoint, it requires 10 - Savvy Actions (minimum 1 Action).\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_research}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
330,Magic-User,Spellcraft,Ability,2,,"Analyze a magical effect you encounter to determine its type, source, and/or effects.",,,,,,,,,,,,,,,,,,,,,,,,,,Analyze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Analyze', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Analyze'],"['!power {{\n    --name|@{name} - Spellcraft\n    --Effect|Analyze a magical effect you encounter to determine its type, source, and/or effects.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_analyze}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
340,Marksman,Pinning Shot,Ability,2,,"Shoot your target, reducing Hits in the result set by -2 but giving your target Restrained 2.",,,,,,Shoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, 'Shoot', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Shoot'],"['!power {{\n    --name|@{name} - Pinning Shot\n    --Effect|Shoot your target, reducing Hits in the result set by -2 but giving your target Restrained 2.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_shoot}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
343,Marksman,Crippling Shot,Ability,3,,"Shoot your target, redicing Hits in the result set by -2 but giving your target Fatigued 1 and Wounded 1.",,,,,,Shoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, 'Shoot', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Shoot'],"['!power {{\n    --name|@{name} - Crippling Shot\n    --Effect|Shoot your target, redicing Hits in the result set by -2 but giving your target Fatigued 1 and Wounded 1.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_shoot}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
